imię,nazwisko,ulica,numer_domu,miasto,numer_telefonu,wiek
Nela,Borkowicz,Rejtana,146,Inowrocław,+48 796 827 645,51
Tola,Pastuszko,Prosta,121,Dzierżoniów,+48 737 905 668,20
Adrianna,Kosiak,Staszica,3,Żory,22 180 55 45,59
Lidia,Jeżyna,Wypoczynkowa,97,Racibórz,+48 535 009 425,25
Konstanty,Furgał,Okulickiego,54,Kościan,+48 793 458 247,44
Olgierd,Łuc,Sienkiewicza,45,Jarosław,+48 573 519 117,37
Michał,Miśko,Słowianska,17,Chorzów,730 847 109,64
Lidia,Jachimczak,Grunwaldzka,20,Augustów,+48 786 625 636,35
Ada,Noras,Staffa,124,Nowa Ruda,+48 666 416 244,19
Tymon,Ledzion,Krzywa,106,Kłodzko,+48 790 985 795,61
Iwo,Wypchło,Kaliska,52,Bielsko-Biała,+48 663 242 304,45
Alan,Margas,Wypoczynkowa,128,Siedlce,+48 32 696 90 64,29
Arkadiusz,Kornek,Błękitna,70,Szczytno,+48 698 292 196,25
Nataniel,Lemiesz,Parkowa,38,Katowice,+48 739 328 015,34
Konrad,Znojek,Łabędzia,20,Inowrocław,+48 732 348 720,54
Urszula,Starzak,Storczykowa,59,Jawor,+48 738 238 353,24
Krystian,Lizurej,Cisowa,46,Olsztyn,733 230 618,80
Nela,Kliber,Gdańska,75,Przemyśl,+48 537 048 733,79
Marika,Hołota,Szarych Szeregów,35,Żagań,22 429 82 90,63
Kamil,Sadownik,Wiejska,55,Pruszków,698 954 430,25
Arkadiusz,Szpyt,Norwida,4,Knurów,22 728 31 87,74
Klara,Portka,Dąbrowskiej,143,Lubartów,22 469 17 89,75
Grzegorz,Plebanek,Sokola,106,Pszczyna,727 502 265,74
Ida,Ciarka,Sikorskiego,149,Głogów,+48 791 831 771,23
Julita,Kliszcz,Daleka,154,Płock,+48 22 367 09 61,48
Marek,Łaciak,Wrocławska,32,Dzierżoniów,+48 32 692 38 63,57
Klara,Heba,Szymanowskiego,123,Zawiercie,+48 697 391 327,75
Marcelina,Brzykcy,Okulickiego,151,Szczytno,736 220 452,64
Piotr,Sugier,Władysława Jagiełły,18,Gorzów Wielkopolski,+48 22 008 85 45,18
Dominik,Molga,Piękna,19,Gniezno,+48 605 220 931,35
Igor,Matusewicz,Zaułek,6,Poznań,889 855 026,24
Oliwier,Lang,Podwale,53,Gorzów Wielkopolski,503 652 624,44
Jędrzej,Dynak,Mieszka I,124,Ostrów Mazowiecka,+48 576 572 981,79
Karol,Fidler,Krasickiego,4,Jaworzno,695 808 421,29
Tola,Wawrzyńczyk,Bydgoska,101,Piotrków Trybunalski,504 198 949,48
Ernest,Policht,Łączna,125,Zgierz,+48 793 394 377,37
Kajetan,Staśko,Piaskowa,83,Dębica,32 894 57 49,34
Ewelina,Sulik,Zdrojowa,35,Swarzędz,+48 736 831 575,46
Bianka,Wawszczak,Armii Krajowej,143,Łaziska Górne,+48 601 579 124,52
Aleks,Kijanka,Agrestowa,4,Elbląg,695 806 641,61
Kornelia,Czura,Narutowicza,53,Skierniewice,+48 725 253 529,26
Emil,Apostel,Jesionowa,65,Chojnice,+48 574 097 296,26
Alex,Maruszczak,Wypoczynkowa,119,Legionowo,883 272 101,34
Eryk,Gąbka,Kasprowicza,93,Lubliniec,+48 579 767 324,76
Maurycy,Kozon,Sybiraków,154,Kluczbork,+48 32 977 22 76,62
Melania,Kott,Daleka,157,Warszawa,786 462 539,37
Natan,Szaruga,Baczynskiego,10,Lębork,+48 695 994 839,32
Kajetan,Fidos,Traugutta,144,Kwidzyn,519 324 898,58
Wojciech,Banak,Morcinka,95,Białystok,+48 538 366 986,30
Urszula,Słupek,Szeroka,105,Siedlce,+48 729 160 854,72
Karina,Walusiak,Ciasna,70,Bartoszyce,+48 788 960 601,60
Eliza,Toma,Wybickiego,135,Chojnice,+48 32 006 10 73,29
Adam,Pazik,Częstochowska,144,Świecie,734 919 006,63
Ewelina,Witaszek,Jaskółcza,7,Tczew,732 989 323,55
Leonard,Sito,Borówkowa,119,Koszalin,796 315 207,59
Sylwia,Czerwionka,Podleśna,95,Słupsk,+48 516 373 230,58
Ida,Glica,Grabowa,116,Dębica,513 248 499,64
Emil,Zawiasa,Kopernika,64,Kościan,+48 502 246 654,26
Tola,Mamcarz,Poznańska,46,Tarnobrzeg,691 855 808,30
Julianna,Jędruch,Ludowa,132,Biłgoraj,+48 721 203 742,25
Sonia,Kaja,Robotnicza,128,Chorzów,668 806 979,36
Grzegorz,Gaś,Dębowa,85,Turek,+48 664 010 298,65
Dorota,Zimmer,Kolonia,121,Częstochowa,789 556 251,52
Artur,Bociek,Dąbrowskiego,61,Sanok,691 866 405,39
Oskar,Waleczek,Zwycięstwa,66,Łomża,+48 694 744 415,52
Aleks,Kurzac,Osiedlowa,73,Pruszcz Gdański,32 793 58 43,62
Anastazja,Labocha,Turystyczna,44,Świdnica,22 001 17 87,55
Iwo,Halik,Młyńska,51,Żary,+48 32 197 02 67,50
Kalina,Straszak,Hutnicza,58,Giżycko,572 208 555,22
Kalina,Koziatek,Pogodna,86,Tomaszów Mazowiecki,606 903 726,43
Angelika,Skonieczka,Czarnieckiego,23,Mława,+48 539 580 480,48
Patryk,Buczko,Przechodnia,10,Jarocin,+48 22 074 36 42,65
Sara,Lesiewicz,Wojciecha,50,Skarżysko-Kamienna,576 832 669,78
Grzegorz,Roszko,Pałacowa,59,Malbork,+48 501 590 745,44
Dominik,Buszko,Urocza,89,Ostrołęka,733 619 610,18
Kamila,Walus,Pomorska,123,Łowicz,+48 698 614 581,41
Krystian,Pastucha,Jana,117,Ciechanów,519 846 124,26
Norbert,Olszyna,Kolorowa,123,Bydgoszcz,736 277 083,62
Piotr,Pochroń,Dworska,109,Gorzów Wielkopolski,512 282 799,21
Mieszko,Tylek,Górnicza,127,Będzin,722 691 773,80
Witold,Ruman,Wojska Polskiego,133,Kołobrzeg,+48 509 379 309,27
Sonia,Jaskóła,Jeżynowa,19,Zawiercie,+48 733 996 045,31
Apolonia,Idec,Kasztanowa,36,Słupsk,+48 22 196 10 76,19
Apolonia,Ładziak,Kazimierza Wielkiego,128,Ostróda,+48 516 987 106,62
Fryderyk,Szafarz,Gałczynskiego,56,Tarnów,786 809 949,76
Antoni,Kałwak,Krokusowa,29,Luboń,881 629 224,29
Róża,Bembenek,Składowa,105,Świdnica,+48 508 471 245,33
Apolonia,Hak,Cyprysowa,68,Zielona Góra,+48 784 709 472,49
Marika,Komisarczyk,Stefana Batorego,80,Mińsk Mazowiecki,720 620 421,31
Dominik,Kozdra,Jaskółcza,110,Głogów,+48 530 254 356,64
Artur,Duży,Przemysłowa,74,Jelenia Góra,+48 698 981 916,31
Mieszko,Hajdasz,Wiślana,78,Kościerzyna,+48 794 704 668,72
Fryderyk,Wołos,Orla,7,Jasło,+48 32 279 61 02,61
Arkadiusz,Kostera,Gołębia,64,Radomsko,697 637 250,70
Angelika,Grymuza,Pszenna,31,Jasło,604 781 592,74
Ada,Samson,Leśna,65,Lubartów,+48 697 673 482,31
Dagmara,Sot,Kraszewskiego,22,Polkowice,504 778 433,40
Anita,Płodzień,Bociania,69,Inowrocław,791 886 620,66
Konrad,Wyderka,Skrajna,112,Augustów,883 608 656,58
Maciej,Kuliberda,Podleśna,96,Tarnów,690 560 117,53
Olgierd,Stachelek,Koralowa,65,Chorzów,+48 727 503 383,30
Ryszard,Gągała,Kolorowa,59,Chrzanów,+48 32 721 84 86,59
Nataniel,Brudny,Partyzantów,121,Oświęcim,+48 781 291 405,75
Adam,Wojewódka,Chełmońskiego,23,Wejherowo,+48 572 078 347,79
Łukasz,Płocharczyk,Brzechwy,131,Łódź,+48 607 604 670,74
Krystyna,Kunda,Świerczewskiego,32,Swarzędz,792 801 802,19
Blanka,Macha,Jesionowa,112,Pruszków,+48 601 298 121,43
Hubert,Potok,Żwirki i Wigury,46,Kluczbork,+48 798 208 355,35
Damian,Wawszczak,Niecała,145,Siedlce,+48 532 664 855,37
Jeremi,Wojak,Wrzosowa,13,Radomsko,+48 517 807 828,43
Tadeusz,Złotnik,Ogrodowa,121,Gorzów Wielkopolski,+48 513 528 488,57
Radosław,Ryszkiewicz,Wspólna,82,Bytom,+48 571 683 933,18
Stanisław,Komander,Konopnickiej,137,Pabianice,+48 663 911 537,59
Alan,Kłoczko,Bankowa,9,Tomaszów Mazowiecki,+48 515 135 593,55
Kornelia,Wawrzynkiewicz,Kamienna,6,Czerwionka-Leszczyny,+48 32 153 94 56,80
Eliza,Pieczyrak,Ściegiennego,131,Świętochłowice,882 542 816,39
Ida,Pasich,Cedrowa,113,Mińsk Mazowiecki,+48 738 909 072,44
Marcel,Misiarz,Rubinowa,127,Gorzów Wielkopolski,+48 783 447 740,68
Maciej,Baś,Boczna,131,Nowy Targ,887 483 674,74
Emil,Tofil,Chopina,36,Lębork,+48 22 960 73 28,65
Anna Maria,Garczyk,Lwowska,99,Marki,722 412 401,67
Janina,Mędrala,Wyspiańskiego,78,Chorzów,515 677 935,49
Kajetan,Nitek,Zdrojowa,30,Jarocin,+48 690 236 084,64
Marianna,Misiuk,Borowa,71,Swarzędz,+48 32 305 38 77,20
Gabriel,Kaziród,Dojazdowa,154,Zduńska Wola,788 306 604,43
Maksymilian,Truchan,Lazurowa,57,Łomża,787 167 559,21
Adrianna,Dorobisz,Jagiellońska,9,Ząbki,+48 22 226 79 77,46
Marek,Kręcisz,Klonowa,58,Włocławek,669 128 614,57
Piotr,Burczak,Dąbrowskiej,103,Stalowa Wola,603 121 191,63
Łukasz,Klebba,Szeroka,90,Kłodzko,+48 692 137 847,76
Rafał,Burzec,Tysiąclecia,154,Brodnica,+48 500 933 919,18
Stefan,Ekert,Boczna,111,Zawiercie,+48 515 178 776,78
Ewa,Cal,Gajowa,16,Kościerzyna,609 895 675,47
Olga,Słoboda,Kossaka,97,Płock,+48 661 024 797,58
Kacper,Buczko,Dworcowa,149,Kutno,+48 606 083 956,57
Łukasz,Grochowina,Widokowa,134,Tarnobrzeg,+48 666 592 379,27
Szymon,Bąkiewicz,Rzeczna,31,Oleśnica,533 903 460,52
Gaja,Matynia,Zaciszna,152,Mińsk Mazowiecki,+48 534 906 077,77
Józef,Trzmiel,Królewska,33,Stargard Szczeciński,+48 571 232 394,50
Bartek,Dudkowiak,Diamentowa,29,Ostrowiec Świętokrzyski,602 333 573,20
Miłosz,Kulis,Jadwigi,123,Toruń,+48 577 889 295,78
Klara,Sołtan,Nadbrzeżna,49,Legionowo,539 165 611,69
Tymon,Tyniec,Porzeczkowa,57,Zakopane,+48 787 968 865,70
Monika,Podkowa,Skośna,141,Bielawa,+48 797 028 665,42
Inga,Pogorzelec,Torowa,123,Jaworzno,+48 606 077 572,39
Konrad,Nowek,Zakole,1,Łomża,600 586 806,26
Elżbieta,Łapaj,Perłowa,118,Chełm,887 025 840,28
Szymon,Matyjaszek,Żabia,33,Mińsk Mazowiecki,660 121 851,53
Kornel,Monkiewicz,Letniskowa,125,Sanok,733 414 205,59
Damian,Golczyk,Solidarnosci,154,Częstochowa,+48 532 306 758,24
Ewelina,Kubów,Strażacka,125,Wieluń,+48 22 840 07 96,31
Dominik,Guziak,Spółdzielcza,157,Wieluń,+48 794 076 813,39
Bartek,Araszkiewicz,Gałczynskiego,156,Legnica,+48 533 948 654,63
Anna Maria,Bugiel,Złota,30,Żywiec,694 316 924,64
Krystyna,Latek,Kościelna,17,Rybnik,+48 607 893 595,24
Cyprian,Łuczyk,Sokola,100,Jaworzno,+48 664 827 641,40
Przemysław,Cyroń,Myśliwska,11,Police,+48 607 906 302,19
Cyprian,Wita,Klonowa,148,Wyszków,507 216 840,69
Alan,Grzegorzak,Powstańców,28,Wodzisław Śląski,+48 799 489 638,26
Józef,Ślipek,Żurawia,123,Krotoszyn,+48 667 891 802,19
Damian,Dorawa,Wojska Polskiego,129,Koszalin,791 115 956,46
Oskar,Woda,Pomorska,133,Tarnów,+48 798 584 478,80
Adam,Boruń,Pogodna,85,Lębork,+48 789 799 319,78
Konstanty,Roj,Plażowa,133,Sosnowiec,+48 880 919 642,60
Maks,Klamka,Graniczna,150,Piotrków Trybunalski,+48 694 800 700,34
Mikołaj,Piekacz,Słowackiego,129,Świnoujście,722 680 064,57
Natasza,Klaja,Kolorowa,144,Brodnica,32 866 66 20,68
Justyna,Mila,Bukowa,101,Zawiercie,792 291 388,47
Szymon,Iskierka,Bolesława Krzywoustego,44,Biała Podlaska,604 332 457,40
Stefan,Andreasik,Kolejowa,46,Warszawa,+48 882 346 913,72
Franciszek,Klekot,Szewska,108,Turek,608 551 262,67
Ewa,Ornat,Kamienna,13,Luboń,+48 731 904 632,37
Juliusz,Rozmiarek,Jasna,59,Oświęcim,+48 32 422 29 33,21
Gustaw,Ogrodowicz,Gołębia,157,Kutno,799 408 001,72
Fabian,Nieścioruk,Ptasia,141,Kołobrzeg,32 178 45 93,30
Paweł,Wiszowaty,Lipowa,71,Szczecinek,+48 519 495 591,43
Sylwia,Kosiak,Kusocińskiego,140,Kętrzyn,885 797 684,50
Dariusz,Szajda,Szkolna,77,Jasło,+48 782 367 020,29
Cyprian,Niksa,Waryńskiego,27,Zgierz,791 382 628,67
Antoni,Cisoń,Reja,73,Kościerzyna,+48 505 780 674,45
Konrad,Folta,Szymanowskiego,1,Leszno,22 646 32 29,34
Ksawery,Hirsch,Skargi,49,Zambrów,663 437 441,58
Mateusz,Ochnik,Morcinka,120,Chrzanów,+48 574 280 565,38
Arkadiusz,Ulfik,Myśliwska,123,Swarzędz,662 667 605,77
Adam,Węgrzynowicz,Akacjowa,149,Police,574 944 036,26
Julian,Subocz,Mokra,117,Będzin,882 515 513,39
Monika,Czesak,Środkowa,7,Lubartów,+48 720 767 428,24
Dominik,Macioł,Wieniawskiego,11,Wrocław,536 469 398,27
Aniela,Czupryn,Wróblewskiego,81,Oświęcim,+48 665 963 985,19
Nikodem,Elsner,Księżycowa,28,Chorzów,+48 32 587 95 16,67
Fabian,Tyka,Przechodnia,27,Świdnica,+48 532 559 127,28
Maks,Małys,Kolejowa,12,Świdnica,+48 535 596 773,40
Ida,Suchoń,Lisia,56,Jelenia Góra,601 968 346,77
Alan,Michnowicz,Jabłoniowa,76,Mińsk Mazowiecki,+48 576 749 330,24
Eryk,Borczyk,Azaliowa,123,Iława,+48 532 953 267,19
Grzegorz,Kurpanik,Kusocińskiego,147,Żyrardów,+48 517 531 394,28
Dawid,Stwora,Gdańska,93,Gorlice,+48 780 962 154,45
Jakub,Zagożdżon,Kwiatowa,120,Wejherowo,+48 502 661 730,21
Maciej,Kaczmar,Batalionów Chłopskich,22,Wrocław,664 529 692,40
Stefan,Witoń,Słowicza,81,Radomsko,730 154 486,19
Olaf,Wojnicz,Pocztowa,11,Mysłowice,739 998 626,55
Patryk,Kiwior,Zwycięstwa,137,Bielsk Podlaski,+48 574 468 004,21
Daniel,Walusiak,Wojciecha,103,Rumia,+48 732 339 392,18
Gustaw,Wilkos,Podwale,149,Rzeszów,+48 514 716 603,42
Norbert,Elias,Gołębia,96,Żyrardów,501 604 258,36
Franciszek,Ligas,Szpitalna,91,Śrem,699 660 552,62
Przemysław,Mętel,Zwycięstwa,99,Żyrardów,+48 720 454 592,29
Leonard,Walus,Lipca,4,Otwock,+48 660 885 741,19
Adrianna,Tórz,Szafirowa,5,Starogard Gdański,+48 730 031 549,28
Artur,Tywoniuk,Podleśna,111,Bochnia,572 477 950,23
Marcin,Męcik,Krzywa,53,Skierniewice,781 194 960,65
Oliwier,Steinke,Zielna,80,Piekary Śląskie,+48 792 162 122,75
Blanka,Wiertelak,Jadwigi,157,Chojnice,883 403 575,79
Monika,Pronobis,Bema,41,Zielona Góra,+48 731 570 078,78
Witold,Harasimiuk,Moniuszki,64,Brodnica,+48 519 439 923,19
Dagmara,Białka,Wieniawskiego,147,Kłodzko,+48 539 895 095,35
Urszula,Krajniak,Okulickiego,52,Ząbki,+48 504 483 751,44
Damian,Żyto,Partyzantów,99,Przemyśl,+48 788 293 288,42
Przemysław,Tutka,Rajska,27,Sosnowiec,500 780 227,42
Natasza,Uroda,Sikorskiego,78,Starachowice,+48 605 140 777,36
Marcel,Sporek,Sikorskiego,119,Nowa Ruda,739 049 533,38
Cezary,Sieradzan,Lazurowa,105,Kętrzyn,+48 797 405 373,75
Cyprian,Cięciwa,Żurawia,139,Ostrołęka,884 573 856,20
Nicole,Błaziak,Jasna,16,Bielsk Podlaski,32 064 06 21,28
Grzegorz,Zaraś,Moniuszki,20,Bielsk Podlaski,571 125 137,62
Monika,Krzyk,Urocza,5,Mińsk Mazowiecki,+48 575 613 640,66
Kazimierz,Kołpak,Bolesława Chrobrego,93,Giżycko,22 826 16 34,30
Andrzej,Ważny,Plażowa,101,Nysa,22 991 26 79,64
Maks,Brygoła,Armii Krajowej,33,Świecie,+48 738 504 276,62
Marcelina,Nickel,Kilińskiego,120,Wodzisław Śląski,+48 501 319 627,63
Urszula,Banyś,Częstochowska,142,Żagań,578 759 471,74
Nela,Stoch,Kaszubska,38,Ruda Śląska,+48 885 483 692,64
Marcin,Guźniczak,Korczaka,61,Jarosław,32 699 08 28,40
Maciej,Wiza,Ciasna,69,Kraśnik,+48 723 217 360,69
Tobiasz,Kołton,Wojciecha,121,Lubartów,781 439 105,77
Aleks,Adamów,Chmielna,140,Iława,720 734 210,72
Aleksander,Kuźnia,Wrocławska,97,Białogard,+48 782 442 761,51
Leon,Witkowicz,Kolejowa,67,Suwałki,798 194 330,40
Arkadiusz,Gierat,Listopada,73,Kościan,501 080 454,34
Przemysław,Steuer,Skrajna,79,Zamość,518 443 999,80
Kornel,Hyży,Sportowa,120,Bydgoszcz,699 674 366,69
Józef,Drela,Dojazdowa,119,Mikołów,+48 506 704 548,36
Paweł,Stachów,Spokojna,14,Mielec,32 121 21 85,66
Natasza,Bancerz,Kruczkowskiego,73,Zgorzelec,+48 32 764 74 15,28
Angelika,Kurant,Tylna,37,Ostróda,+48 794 196 754,78
Tadeusz,Szybiak,Odrzańska,123,Świętochłowice,788 120 587,75
Bruno,Megger,Zacisze,85,Jasło,+48 794 329 498,21
Grzegorz,Brodawka,Narutowicza,124,Dębica,+48 796 484 921,59
Tadeusz,Kulczak,Tartaczna,31,Biłgoraj,+48 730 107 499,73
Michał,Wowra,Jana,122,Żagań,530 870 502,50
Konrad,Kuffel,Piekarska,46,Świnoujście,+48 783 035 763,34
Alan,Majdak,Zakole,116,Sieradz,+48 602 552 138,32
Cyprian,Rajchel,Wierzbowa,101,Biała Podlaska,663 153 917,36
Hubert,Bronka,Jeziorna,71,Świętochłowice,+48 572 764 876,66
Nikodem,Bakalarczyk,Wróblewskiego,151,Oleśnica,22 605 62 07,36
Rozalia,Ziajka,Reja,151,Police,798 470 894,51
Stefan,Ankiewicz,Bolesława Chrobrego,27,Toruń,790 789 956,54
Dawid,Księżak,Morska,14,Luboń,32 483 94 68,20
Tola,Jamrożek,Żabia,153,Żagań,883 979 518,42
Maurycy,Fołta,Poniatowskiego,52,Tarnowskie Góry,+48 22 848 66 20,44
Kalina,Domurad,Jaskółcza,100,Lubliniec,+48 502 217 159,71
Michał,Mirończuk,Fredry,38,Kraśnik,+48 887 635 271,29
Klara,Hirsch,Dąbrowskiej,1,Ostrowiec Świętokrzyski,+48 517 587 550,24
Anna Maria,Wołos,Konstytucji 3 Maja,63,Pruszków,22 766 16 51,51
Juliusz,Trybała,Okulickiego,73,Łuków,888 573 860,18
Piotr,Piaseczna,Bolesława Krzywoustego,152,Brzeg,665 599 862,49
Witold,Malecha,Rózana,35,Ciechanów,+48 799 318 919,47
Tobiasz,Noculak,Starowiejska,55,Nowy Targ,+48 696 194 350,43
Aleksander,Żołna,Baczynskiego,131,Sandomierz,798 007 206,59
Bruno,Waloszczyk,Kreta,121,Sopot,698 018 711,50
Dorota,Wasyluk,Lawendowa,114,Świnoujście,783 032 133,23
Franciszek,Wojtunik,Ceglana,96,Grudziądz,+48 503 764 439,38
Michał,Madejczyk,Kalinowa,38,Mikołów,+48 509 705 296,22
Daniel,Twardosz,Konstytucji 3 Maja,57,Gliwice,790 676 715,42
Nikodem,Mućko,Wiślana,75,Słupsk,+48 724 703 447,34
Aleks,Padło,Promienna,59,Mysłowice,723 110 343,79
Marek,Macias,Piękna,53,Radomsko,570 706 988,70
Kajetan,Huber,Górna,159,Grudziądz,+48 699 420 578,54
Józef,Lew,Rejtana,127,Częstochowa,575 955 237,33
Wiktor,Mirgos,Armii Krajowej,30,Mysłowice,531 638 131,62
Natan,Cąkała,Poziomkowa,75,Białogard,505 369 829,37
Klara,Srokosz,Moniuszki,23,Mysłowice,+48 782 348 997,72
Rafał,Krzysztofek,Długa,150,Kutno,+48 885 609 769,18
Fryderyk,Oziębło,Toruńska,126,Sopot,693 493 584,35
Julianna,Wielgos,Kasztanowa,77,Olkusz,+48 601 824 986,35
Jakub,Kleina,Spacerowa,41,Kielce,514 309 631,22
Marcelina,Iwanow,Krasickiego,18,Białogard,510 790 557,37
Urszula,Dzwonnik,Wojciecha,37,Myszków,696 637 768,30
Róża,Doroba,Ceglana,102,Mielec,603 026 571,29
Bartek,Kupś,Pułaskiego,40,Warszawa,+48 609 023 030,32
Maurycy,Kowalówka,Pocztowa,43,Dzierżoniów,+48 729 152 797,18
Nicole,Jędruszczak,Piękna,91,Żyrardów,699 910 877,22
Daniel,Jaśkowiec,Widokowa,4,Chorzów,+48 888 025 241,22
Bartek,Grys,Jesionowa,122,Bełchatów,+48 600 616 619,21
Aniela,Denkiewicz,Rzeczna,62,Gniezno,797 334 764,34
Ryszard,Gill,Mostowa,104,Siemianowice Śląskie,+48 502 619 987,30
Borys,Stochel,Sawickiej,117,Grodzisk Mazowiecki,+48 797 279 569,80
Arkadiusz,Korbel,Wojska Polskiego,23,Włocławek,737 698 266,61
Marcin,Kocaj,Cegielniana,52,Szczecinek,+48 509 666 598,36
Marianna,Wasążnik,Cisowa,122,Kościan,517 460 337,47
Olaf,Pikula,Staffa,86,Nowy Dwór Mazowiecki,+48 884 996 809,54
Anna Maria,Łuczkiewicz,Zapolskiej,32,Zambrów,786 933 174,33
Janina,Stempin,Jaskółcza,122,Zgierz,+48 735 967 726,32
Kamila,Borkiewicz,Kaliska,153,Piła,+48 579 131 069,55
Cyprian,Kozon,Krzywa,54,Wałcz,32 229 86 29,31
Roksana,Matwiejczyk,Rzemieślnicza,77,Września,513 074 779,32
Gaja,Szuta,Pocztowa,12,Legnica,505 740 734,26
Monika,Rudzik,Kolorowa,134,Gniezno,+48 505 379 890,60
Aleks,Tomzik,Żabia,44,Mława,+48 507 694 354,32
Kazimierz,Budzyń,Pocztowa,143,Inowrocław,736 640 494,55
Karol,Putek,Ptasia,38,Czeladź,+48 32 179 44 81,54
Filip,Piszcz,Malinowa,34,Pszczyna,788 029 530,62
Marcin,Malisz,Południowa,26,Jarosław,+48 669 514 398,71
Liwia,Młyńczak,Rataja,44,Skierniewice,+48 781 719 060,62
Miłosz,Meler,Jana Pawła II,102,Oświęcim,+48 793 403 034,56
Anita,Kołton,Broniewskiego,61,Swarzędz,+48 511 508 885,38
Adrianna,Pezda,Modrzewiowa,108,Jaworzno,663 118 754,74
Jeremi,Posłuszna,Koralowa,58,Nowy Targ,500 767 308,26
Elżbieta,Kostorz,Daszyńskiego,104,Skierniewice,+48 723 071 130,75
Emil,Pazik,Porzeczkowa,80,Przemyśl,667 637 826,44
Karol,Małys,Jasna,20,Zawiercie,789 349 098,73
Sonia,Ciaś,Orkana,110,Mielec,532 676 584,38
Rafał,Mikiciuk,Cegielniana,73,Zawiercie,692 517 276,55
Nela,Drewa,Willowa,131,Sosnowiec,+48 513 485 389,61
Melania,Domek,Asnyka,122,Jarocin,+48 609 480 624,31
Patryk,Szajner,Jana,128,Wołomin,+48 729 629 321,60
Ada,Pitala,Kreta,126,Opole,+48 720 534 748,68
Adrian,Kozłowicz,Daszyńskiego,141,Kielce,504 854 317,64
Artur,Hasiak,Poziomkowa,150,Bełchatów,691 939 485,37
Filip,Pietryga,Gołębia,86,Olsztyn,797 396 457,38
Przemysław,Helak,Perłowa,24,Skarżysko-Kamienna,725 293 733,79
Ida,Stwora,Wyzwolenia,110,Wrocław,781 707 325,51
Julita,Prygiel,Źródlana,141,Zabrze,32 979 87 89,76
Adrianna,Kurtyka,Storczykowa,42,Gdańsk,+48 511 585 956,35
Ryszard,Szklarek,Piastowska,81,Wałcz,880 415 309,19
Paweł,Wojewodzic,Księżycowa,108,Ełk,+48 694 054 641,34
Radosław,Złotek,Nadrzeczna,151,Gniezno,+48 579 372 821,59
Olaf,Zbrożek,Grunwaldzka,62,Białogard,661 966 112,42
Rafał,Blaut,Andersa,44,Kołobrzeg,506 789 281,66
Urszula,Grądziel,Poniatowskiego,158,Kutno,+48 737 601 801,30
Patryk,Wincenciak,Wspólna,16,Ostrołęka,+48 608 067 304,51
Marcel,Grądziel,Północna,68,Przemyśl,883 124 326,74
Miłosz,Merchel,Turystyczna,122,Turek,+48 535 561 063,79
Aleksander,Palus,Poziomkowa,6,Sochaczew,729 725 280,30
Paweł,Maślach,Swierkowa,118,Kościerzyna,511 576 490,43
Monika,Wisła,Cmentarna,61,Przemyśl,+48 607 491 336,23
Rozalia,Oczko,Dojazdowa,110,Suwałki,736 604 837,72
Robert,Leks,Kopernika,19,Oleśnica,+48 535 530 194,80
Karina,Wisła,Spółdzielcza,65,Suwałki,534 692 564,58
Gustaw,Moniuszko,Jadwigi,46,Poznań,785 607 322,77
Sandra,Feliniak,Truskawkowa,42,Grudziądz,+48 506 267 696,74
Monika,Mordal,Wierzbowa,54,Dzierżoniów,+48 724 218 569,66
Bianka,Ułanowicz,Bydgoska,55,Jarocin,576 666 831,69
Łukasz,Jachimczyk,Stroma,137,Knurów,697 931 485,41
Juliusz,Dejneka,Widokowa,48,Kalisz,789 304 468,21
Sylwia,Hadała,Jadwigi,51,Zduńska Wola,+48 669 558 495,26
Błażej,Bany,Tylna,22,Wągrowiec,+48 727 367 730,20
Oliwier,Pacia,Składowa,28,Radom,575 613 181,78
Anastazja,Ławniczek,Paderewskiego,34,Białogard,721 185 151,74
Daniel,Sadza,Zwycięstwa,158,Reda,+48 512 852 830,64
Bianka,Radziewicz,Konstytucji 3 Maja,79,Lubliniec,+48 796 362 554,62
Ewa,Sych,Szczęśliwa,144,Tychy,+48 730 566 641,47
Blanka,Macheta,Skargi,47,Goleniów,+48 728 971 927,32
Szymon,Dyszkiewicz,Asnyka,109,Katowice,886 177 428,80
Wiktor,Dudziec,Kochanowskiego,90,Wągrowiec,515 247 028,50
Mieszko,Stachelek,Morelowa,138,Zgierz,663 867 931,52
Angelika,Migała,Dobra,22,Czerwionka-Leszczyny,32 788 83 49,67
Przemysław,Sałuda,Wczasowa,147,Wieluń,666 105 604,71
Albert,Pospiech,Diamentowa,34,Sosnowiec,728 464 913,39
Urszula,Berdzik,Wyzwolenia,22,Sosnowiec,726 745 789,73
Kacper,Rychel,Pogodna,76,Siedlce,+48 601 600 208,56
Damian,Andrearczyk,Rolnicza,95,Nowy Sącz,531 925 428,50
Marcelina,Soliwoda,Sadowa,89,Olkusz,606 638 254,18
Klara,Warmuz,Olchowa,139,Świebodzice,721 053 371,55
Konrad,Kielczyk,Makuszyńskiego,141,Oława,692 197 407,31
Tobiasz,Kroll,Jodłowa,134,Płock,+48 511 926 912,59
Gustaw,Troć,Dworcowa,63,Kłodzko,665 007 809,20
Kajetan,Sycz,Narcyzowa,121,Ełk,536 557 698,75
Kornel,Panuś,Kołłątaja,81,Zamość,+48 698 876 540,60
Olgierd,Niewiara,Kasztanowa,119,Bielsk Podlaski,792 834 871,70
Iwo,Jędrzejek,Przemysłowa,38,Żywiec,509 655 702,42
